i|dish_id|amount|ingredient
0|1591891||black pepper
1|1591891|1 large|onion
2|1591891|1 tablespoon|red pepper flakes
3|1591891|1|pork
4|1591891|1|toast
5|1591891|2 cups|coffee
6|1591891|2 tablespoons|worcestershire sauce
7|1591891|2 tablespoons|liquid smoke
8|1591891|5 large|garlic
9|1591326||pepper
10|1591326|1 tablespoon|mustard
11|1591326|1 tablespoon|rosemary
12|1591326|1|garlic
13|1591326|1/2 cup|olive oil
14|1591326|1/4 cup|balsamic vinegar
15|1591326|2 lbs.|chicken
16|1521897||skewer
17|1521897|1 clove|garlic
18|1521897|1 teaspoon|chili powder
19|1521897|1/4 cup|honey
20|1521897|1/4 cup|tomato paste
21|1521897|2 tablespoons|cider vinegar
22|1521897|4|chicken breast
23|1558332|1 tablespoon|red bell pepper
24|1558332|1 cup|lime
25|1558332|1|red onion
26|1558332|1/2 teaspoon|black pepper
27|1558332|1/2|half and half
28|1558332|1/4 cup|cilantro
29|1558332|1/4 teaspoon|chicken broth
30|1558332|1/4 teaspoon|olive oil
31|1558332|2 tablespoons|butter
32|1558332|2 tablespoons|red pepper flakes
33|1558332|4|salt
34|1573225||chicken breast
35|1573225|1/2 t|black pepper
36|1573225|2 t|garlic
37|1573225|2 t|season
38|1573225|6 t|butter
39|1573225|6 t|lemon
40|1522866||lemon
41|1522866|1 tablespoon|garlic
42|1522866|1/2 cup|brown sugar
43|1522866|1/2 teaspoon|black pepper
44|1522866|1/4 teaspoon|salt
45|1522866|3/4 cup|ketchup
46|1522866|3/4 cup|soy sauce
47|1522866|4 lbs.|pork
48|1576796||cheese
49|1576796||lemon
50|1576796||mint
51|1576796||pepper
52|1576796||pita
53|1576796||red onion
54|1576796||red pepper flakes
55|1576796|1 1/2 pounds|lamb
56|1576796|1 1/2 pounds|potatoe
57|1576796|1 clove|garlic
58|1576796|1 cup|yogurt
59|1576796|1 tablespoon|dill
60|1576796|1 tablespoon|olive oil
61|1576796|1 tablespoon|paprika
62|1576796|1 teaspoon|pepper
63|1576796|1|avocado
64|1576796|1-2 tablespoons|oregano
65|1576796|1/4 cup|lemon
66|1576796|1/4 cup|olive oil
67|1576796|2 tablespoons|olive oil
68|1576796|2 tablespoons|oregano
69|1576796|4|garlic
70|1574572||orange juice
71|1574572|1 tbsp|orange
72|1574572|1/2 tsp|curry
73|1574572|1/2 tsp|red pepper
74|1574572|1/4 cup|honey
75|1574572|1/4 cup|soy sauce
76|1574572|4 large|chicken breast
77|1574572|4|garlic
78|1543030|1 1/2 lbs|chicken breast
79|1543030|1 tbs|lemon zest
80|1543030|1 tbs|mint
81|1543030|1 tbs|oregano
82|1543030|1 tsp|chili
83|1543030|1/2 tbs|salt
84|1543030|2 tbs|lemon
85|1543030|2 tbs|olive oil
86|1543030|3|garlic
87|1514856||kosher salt
88|1514856||lime
89|1514856|1 4- pound|chicken
90|1514856|1 teaspoon|grate
91|1514856|1|chile
92|1514856|1/4 cup|olive oil
93|1514856|1/4 cup|oregano
94|1514856|3/4 cup|cilantro
95|1197553|1 1/2 teaspoons|ginger
96|1197553|1 teaspoon|chile
97|1197553|1 teaspoon|cilantro
98|1197553|1 teaspoon|cream
99|1197553|1 teaspoon|salt
100|1197553|1/2 cup|olive oil
101|1197553|2 tablespoons|lime juice
102|1197553|4 boneless,|chicken breast
103|1562857|1 1/2 teaspoons|sugar
104|1562857|1 clove|garlic
105|1562857|1 tablespoon|ginger
106|1562857|1 tablespoon|peanut butter
107|1562857|1 tablespoon|sesame oil
108|1562857|1 teaspoon|curry
109|1562857|1/2 teaspoon|salt
110|1562857|2|pork tenderloin
111|1562857|3 tablespoons|soy sauce
112|1549479|1 tablespoon|curry
113|1549479|1 tablespoon|vegetable oil
114|1549479|1|mince
115|1549479|1/2 cup|red onion
116|1549479|1/2 teaspoon|coriander
117|1549479|1/3|cucumber
118|1549479|1/4 cup|cilantro
119|1549479|1/4 teaspoon|cumin
120|1549479|2 cups|honey
121|1549479|2 pounds|steak
122|1549479|2 tablespoons|lime juice
123|1549479|3 tablespoons|lime juice
124|1559422|1 tablespoon|cornstarch
125|1559422|1/2 cup|orange juice
126|1559422|1/4 cup|brown sugar
127|1559422|1/4 cup|lemon
128|1559422|1/4 cup|lime juice
129|1559422|1/4 cup|orange
130|1559422|2|garlic
131|1559422|3 tablespoons|soy sauce
132|1559422|4|salmon
133|1544325||curry
134|1544325|1 ts|cayenne
135|1544325|1|masa
136|1544325|1|pepper
137|1544325|1|squash
138|1544325|2 ts|salt
139|1544325|2|chili
140|1544325|3|paprika
141|1544325|5-6|salt
142|1515244||nori
143|1515244|1 tbsp|pork
144|1515244|1 cup|broth
145|1515244|1 cup|flour
146|1515244|1|egg
147|1515244|1/4 tsp|salt
148|1515244|1/4 tsp|soy sauce
149|1515244|1/4|cabbage
150|1515244|2-3 tbsp|ginger
151|1515244|3-4 tbsp|yam
152|1515244|3-4|green onions
153|1515244|6|mayonnaise
154|1569865|1 clove|garlic
155|1569865|1 medium|tomato
156|1569865|1 pound|ground turkey
157|1569865|1 tablespoon|olive oil
158|1569865|1/2 cup|mushrooms
159|1569865|1/2 teaspoon|black pepper
160|1569865|1/2 teaspoon|salt
161|1569865|2 cups|baby spinach
162|1569865|2 tablespoons|green onions
163|1229072|1 (12-oz.)|tortilla
164|1229072|1 (15-oz.) can|black beans
165|1229072|1 cup|barbecue sauce
166|1229072|1 pound|pork
167|1229072|1/2 cup|mole
168|1229072|1/2 cup|sour cream
169|1229072|1/2 teaspoon|kosher salt
170|1229072|1/4 cup|cilantro
171|1229072|1/4 cup|pepper
172|1229072|2 cups|milk
173|1229072|2 tablespoons|all-purpose flour
174|1229072|2 tablespoons|butter
175|1229072|3 cups|cheese
176|1229072|3 plum|tomatoes
177|1560610||red onion
178|1560610|1 large|garlic
179|1560610|1 tablespoon|cumin
180|1560610|1 tablespoon|kosher salt
181|1560610|1 tablespoon|mustard
182|1560610|1|beer
183|1560610|1/2 cup|chili powder
184|1560610|1/4 cup|bay leaves
185|1560610|2 tablespoons|paprika
186|1560610|2 teaspoons|cayenne
187|1560610|2|beer
188|1560610|2|ground pepper
189|1560610|4 bottles|brown sugar
190|1560610|4|chile
191|1521608||pineapple
192|1521608|1 pound|ham
193|1521608|1|black pepper
194|1521608|1|egg
195|1521608|1|liquid smoke
196|1521608|1/2. tsp|onion powder
197|1521608|1/4 cup|bread crumbs
198|1521608|1/4|garlic
199|1521608|2-3 tbsp.|kosher salt
200|988172|1 tablespoon|chile
201|988172|1/2 cup|canola oil
202|988172|1/2 teaspoon|black pepper
203|988172|1/4 cup|pepper
204|988172|1/4 teaspoon|cayenne
205|988172|20 shrimp|bbq
206|988172|3 tablespoons|dijon mustard
207|988172|3 tablespoons|lemon
208|988172|8 ounces|bacon
209|1185351|1 1/2 lbs.|steak
210|1185351|1 tb.|ginger
211|1185351|1 tb.|sesame seeds
212|1185351|1 bunch|green onions
213|1185351|1 tsp.|chile
214|1185351|1/2 tsp.|black pepper
215|1185351|1/3 cup|soy sauce
216|1185351|2 1/2 tb.|brown sugar
217|1185351|2 tb.|sesame oil
218|1185351|3 cloves|garlic
219|1242767||avocado
220|1242767|1 medium|avocado
221|1242767|1 recipe|chicken
222|1242767|1 recipe|pineapple
223|1242767|1 tablespoon|lime juice
224|1242767|1/2 cup|cheese
225|1242767|1/2 cup|sour cream
226|1242767|1/2 teaspoon|salt
227|1242767|1/4 teaspoon|cumin
228|1242767|1/4 teaspoon|garlic
229|1242767|2 tablespoons|mayonnaise
230|1242767|4 flour|tortilla
231|1157512||kosher salt
232|1157512||salt
233|1157512|1 15- ounces can|chickpeas
234|1157512|1 tablespoon|lemon zest
235|1157512|1/4 teaspoon|red pepper flakes
236|1157512|2 tablespoons|lemon
237|1157512|3 cups|arugula
238|1157512|4 sprigs|thyme
239|1157512|6 tablespoons|olive oil
240|1157512|8 small|chicken
241|1148724|1 tbs.|brown sugar
242|1148724|1 tsp.|garlic
243|1148724|1 tsp.|sesame oil
244|1148724|1/4 tsp.|red pepper flakes
245|1148724|2 tbs.|five-spice
246|1148724|2 tbs.|soy sauce
247|1148724|2 tbs.|vegetable oil
248|1148724|2 tsp.|rice vinegar
249|1148724|2-1/2 lb.|chicken
250|1148724|3 tbs.|cilantro
251|1148724|3/4 tsp.|kosher salt
252|1518440|2 cups|italian
253|1518440|2 pounds|fish
254|1161008|1 1/2 tablespoons|chile
255|1161008|1 1/2 tablespoons|coriander
256|1161008|1 1/2 tablespoons|cumin
257|1161008|1 1/2 teaspoons|kosher salt
258|1161008|1/2 cup|tenderloin
259|1161008|1/2 teaspoon|black pepper
260|1161008|1/2 teaspoon|cinnamon
261|1161008|1/2 teaspoon|olive oil
262|1161008|2 tablespoons|brown sugar
263|1156738||steak
264|1156738|1 teaspoon|black pepper
265|1156738|1 teaspoon|kosher salt
266|1156738|1/2 cup|brandy
267|1156738|1/2 cup|cream
268|1156738|1/2 cup|red wine
269|1156738|2 shallots,|mince
270|1156738|2 tablespoons|parsley
271|1156738|2 tablespoons|peppercorn
272|1156738|4 cups|sodium
273|1156738|4 tablespoons|butter
274|1496314|1 1/2 cups|ginger
275|1496314|1 1/4 pounds|steak
276|1496314|1 2 -|scallion
277|1496314|1 cup|rice vinegar
278|1496314|1 tablespoon|cucumber
279|1496314|1 tablespoon|rice
280|1496314|1/4 cup|mayonnaise
281|1496314|1/4 cup|vegetable oil
282|1496314|2|carrots
283|1496314|2|sesame seeds
284|1494575||lemon
285|1494575|1 cup|garlic
286|1494575|1 tablespoon|oyster sauce
287|1494575|1 teaspoon|salt
288|1494575|1|garlic
289|1494575|1|pepper
290|1494575|1/2 teaspoon|pepper
291|1494575|1/2|pepper
292|1494575|1/4 cup|fish sauce
293|1494575|1/8|salt
294|1494575|2 pounds|pork
295|1494575|2 tablespoons|brown sugar
296|1494575|2 tablespoons|white vinegar
297|1494575|2|ground pepper
298|1494575|3|onion
299|1510778||butter
300|1510778||mayonnaise
301|1510778|1 cup|bbq
302|1510778|1 cup|cider vinegar
303|1510778|1 small|jalapeno
304|1510778|1 tablespoon|red pepper
305|1510778|1|rotisserie
306|1510778|1/2|cheese
307|1510778|1/4|cornstarch
308|1510778|2 tablespoons|pepper
309|1510778|3/4|lemon
310|1514106|1 tbsp|sesame oil
311|1514106|1/2 cup|onion powder
312|1514106|1/2 cup|soy sauce
313|1514106|1/2 cup|sugar
314|1514106|1/2 tbsp|garlic
315|1514106|1/4 cup|green onions
316|1514106|1/4 tbsp|black pepper
317|1514106|2 1/2 lbs|short ribs
318|1505338|1 cup|ketchup
319|1505338|1 large|sesame seeds
320|1505338|1 tablespoon|carrot
321|1505338|1 tablespoon|snow pea
322|1505338|1 tablespoon|soy sauce
323|1505338|1 teaspoon|honey
324|1505338|1 teaspoon|sesame oil
325|1505338|1/2 cup|honey
326|1505338|1/2 cup|soy sauce
327|1505338|1/2 teaspoon|garlic
328|1505338|1/2|black pepper
329|1505338|1/4 cup|sesame oil
330|1505338|2 -|pork
331|1505338|2 tablespoons|five-spice
332|1505338|2 tablespoons|ham
333|1505338|2 tablespoons|rice vinegar
334|1505338|2 tablespoons|sesame oil
335|1505338|2 tablespoons|shallot
336|1505338|2 tablespoons|soy sauce
337|1505338|2 teaspoons|black pepper
338|1505338|2|chicken stock
339|1505338|3 tablespoons|hoisin sauce
340|1505338|3 tablespoons|honey
341|1505338|3 tablespoons|ketchup
342|1505338|3 tablespoons|rice vinegar
343|1505338|4 ounces|cabbage
344|1505338|4|ginger
345|1505338|5 pound|canola oil
346|1155336|1 teaspoon|thyme
347|1155336|1-1/2 teaspoons|lemon zest
348|1155336|1-1/4 teaspoon|salt
349|1155336|1/2 teaspoon|black pepper
350|1155336|1/2 teaspoon|oregano
351|1155336|4 boneless,|chicken breast
352|1155336|4 large|garlic
353|1155336|6 tablespoons|extra virgin olive oil
354|1179645|1 1/4 cup|flour
355|1179645|1 cup|corn
356|1179645|1 tbsp|sugar
357|1179645|1 tsp|salt
358|1179645|1|egg
359|1179645|1/4 cup|butter
360|1179645|1/4 cup|milk
361|1179645|1/4 cup|cheese
362|1638831||extra virgin olive oil
363|1638831|1 tablespoon|garlic
364|1638831|2|mushroom
365|1170228|1 cup|sugar
366|1170228|1 cup|tomato paste
367|1170228|1 cup|white vinegar
368|1170228|1/3 cup|garlic
